ADNI,MAYO,NACC
BRAINSTEM,Pons,
CC_ANTERIOR,,
CC_CENTRAL,,
CC_MID_ANTERIOR,,
CC_MID_POSTERIOR,,
CC_POSTERIOR,,
CSF,,CSFVOL
CTX_LH_BANKSSTS,,
CTX_LH_CAUDALANTERIORCINGULATE,Cingulum_Ant_L,LCAC
CTX_LH_CAUDALMIDDLEFRONTAL,Frontal_Mid_L,LCMF
CTX_LH_CUNEUS,Cuneus_L,LCUN
CTX_LH_ENTORHINAL,Entorhinal_Cortex_L,LENT
CTX_LH_FRONTALPOLE,,
CTX_LH_FUSIFORM,Fusiform_L,LFUS
CTX_LH_INFERIORPARIETAL,Parietal_Inf_L,LINFPAR
CTX_LH_INFERIORTEMPORAL,Temporal_Inf_L,LINFTEMP
CTX_LH_INSULA,Insula_L,LINSULA
CTX_LH_ISTHMUSCINGULATE,Retrosplenial_Cortex_L,LISTHC
CTX_LH_LATERALOCCIPITAL,Occipital_Mid_L,LLATOCC
CTX_LH_LATERALORBITOFRONTAL,Frontal_Inf_Orb_L,LLATORBF
CTX_LH_LINGUAL,Lingual_L,LLING
CTX_LH_MEDIALORBITOFRONTAL,Frontal_Med_Orb_L,LMEDORBF
CTX_LH_MIDDLETEMPORAL,Temporal_Mid_L,LMIDTEMP
CTX_LH_PARACENTRAL,Paracentral_Lobule_L,LPARCEN
CTX_LH_PARAHIPPOCAMPAL,ParaHippocampal_L,LPARHIP
CTX_LH_PARSOPERCULARIS,Frontal_Inf_Oper_L,LPARSOP
CTX_LH_PARSORBITALIS,Frontal_Inf_Orb_L,LPARORB
CTX_LH_PARSTRIANGULARIS,Frontal_Inf_Tri_L,LPARTRI
CTX_LH_PERICALCARINE,Calcarine_L,LPERCAL
CTX_LH_POSTCENTRAL,Postcentral_L,LPOSCEN
CTX_LH_POSTERIORCINGULATE,Cingulum_Post_L,LPOSCIN
CTX_LH_PRECENTRAL,Precentral_L,LPRECEN
CTX_LH_PRECUNEUS,Precuneus_L,LPRECUN
CTX_LH_ROSTRALANTERIORCINGULATE,Cingulum_Ant_L,LROSANC
CTX_LH_ROSTRALMIDDLEFRONTAL,Frontal_Mid_L,LROSMF
CTX_LH_SUPERIORFRONTAL,Frontal_Sup_L,LSUPFR
CTX_LH_SUPERIORPARIETAL,Parietal_Sup_L,LSUPPAR
CTX_LH_SUPERIORTEMPORAL,Temporal_Sup_L,LSUPTEM
CTX_LH_SUPRAMARGINAL,SupraMarginal_L,LSUPMAR
CTX_LH_TEMPORALPOLE,Temporal_Pole_Mid_L,
CTX_LH_TRANSVERSETEMPORAL,Heschl_L,LTRTEM
CTX_LH_UNKNOWN,,
CTX_RH_BANKSSTS,,
CTX_RH_CAUDALANTERIORCINGULATE,Cingulum_Ant_R,RCAC
CTX_RH_CAUDALMIDDLEFRONTAL,Frontal_Mid_R,RCMF
CTX_RH_CUNEUS,Cuneus_R,RCUN
CTX_RH_ENTORHINAL,Entorhinal_Cortex_R,RENT
CTX_RH_FRONTALPOLE,,
CTX_RH_FUSIFORM,Fusiform_R,RFUS
CTX_RH_INFERIORPARIETAL,Parietal_Inf_R,RINFPAR
CTX_RH_INFERIORTEMPORAL,Temporal_Inf_R,RINFTEMP
CTX_RH_INSULA,Insula_R,RINSULA
CTX_RH_ISTHMUSCINGULATE,Retrosplenial_Cortex_R,RISTHC
CTX_RH_LATERALOCCIPITAL,Occipital_Mid_R,RLATOCC
CTX_RH_LATERALORBITOFRONTAL,Frontal_Inf_Orb_R,RLATORBF
CTX_RH_LINGUAL,Lingual_R,RLING
CTX_RH_MEDIALORBITOFRONTAL,Frontal_Med_Orb_R,RMEDORBF
CTX_RH_MIDDLETEMPORAL,Temporal_Mid_R,RMIDTEMP
CTX_RH_PARACENTRAL,Paracentral_Lobule_R,RPARCEN
CTX_RH_PARAHIPPOCAMPAL,ParaHippocampal_R,RPARHIP
CTX_RH_PARSOPERCULARIS,Frontal_Inf_Oper_R,RPARSOP
CTX_RH_PARSORBITALIS,Frontal_Inf_Orb_R,RPARORB
