full_regs,target,MAYO,NACC
brainstem,brainstem,Pons,
hemiwm,,,
cc_anterior,,,
cc_central,,,
cc_mid_anterior,,,
cc_mid_posterior,,,
cc_posterior,,,
inferior_cerebgm,,Cerebellum_Crus2_L Cerebellum_Crus2_R Cerebellum_7b_L Cerebellum_7b_R Cerebellum_8_L Cerebellum_8_R Cerebellum_9_L Cerebellum_9_R Cerebellum_10_L Cerebellum_10_R,
whole_cerebellum,whole_cerebellum,Cerebellum_10_L Cerebellum_10_R Cerebellum_3_L Cerebellum_3_R Cerebellum_4_5_L Cerebellum_4_5_R Cerebellum_6_L Cerebellum_6_R Cerebellum_7b_L Cerebellum_7b_R Cerebellum_8_L Cerebellum_8_R Cerebellum_9_L Cerebellum_9_R Cerebellum_Crus1_L Cerebellum_Crus1_R Cerebellum_Crus2_L Cerebellum_Crus2_R Vermis_1_2 Vermis_10 Vermis_3 Vermis_4_5 Vermis_6 Vermis_7 Vermis_8 Vermis_9,CEREALL
bankssts,bankssts,,
caudalanteriorcingulate,caudalanteriorcingulate,Cingulum_Ant_L,LCAC
caudalmiddlefrontal,caudalmiddlefrontal,Frontal_Mid_L,LCMF
cuneus,cuneus,Cuneus_L,LCUN
entorhinal,entorhinal,Entorhinal_Cortex_L,LENT
frontalpole,frontalpole,,
fusiform,fusiform,Fusiform_L,LFUS
inferiorparietal,inferiorparietal,Parietal_Inf_L,LINFPAR
inferiortemporal,inferiortemporal,Temporal_Inf_L,LINFTEMP
insula,insula,Insula_L,LINSULA
isthmuscingulate,isthmuscingulate,Retrosplenial_Cortex_L,LISTHC
lateraloccipital,lateraloccipital,Occipital_Mid_L,LLATOCC
lateralorbitofrontal,lateralorbitofrontal,Frontal_Inf_Orb_L,LLATORBF
lingual,lingual,Lingual_L,LLING
medialorbitofrontal,medialorbitofrontal,Frontal_Med_Orb_L,LMEDORBF
middletemporal,middletemporal,Temporal_Mid_L,LMIDTEMP
paracentral,paracentral,Paracentral_Lobule_L,LPARCEN
parahippocampal,parahippocampal,ParaHippocampal_L,LPARHIP
parsopercularis,parsopercularis,Frontal_Inf_Oper_L,LPARSOP
parsorbitalis,parsorbitalis,Frontal_Inf_Orb_L,LPARORB
parstriangularis,parstriangularis,Frontal_Inf_Tri_L,LPARTRI
pericalcarine,pericalcarine,Calcarine_L,LPERCAL
postcentral,postcentral,Postcentral_L,LPOSCEN
posteriorcingulate,posteriorcingulate,Cingulum_Post_L,LPOSCIN
precentral,precentral,Precentral_L,LPRECEN
precuneus,precuneus,Precuneus_L,LPRECUN
rostralanteriorcingulate,rostralanteriorcingulate,Cingulum_Ant_L,LROSANC
rostralmiddlefrontal,rostralmiddlefrontal,Frontal_Mid_L,LROSMF
superiorfrontal,superiorfrontal,Frontal_Sup_L,LSUPFR
superiorparietal,superiorparietal,Parietal_Sup_L,LSUPPAR
superiortemporal,superiortemporal,Temporal_Sup_L,LSUPTEM
supramarginal,supramarginal,SupraMarginal_L,LSUPMAR
temporalpole,temporalpole,Temporal_Pole_Mid_L,
transversetemporal,transversetemporal,Heschl_L,LTRTEM
accumbens_area,,,
amygdala,amygdala,Amygdala_L,
caudate,caudate,Caudate_L,
cerebellum_cortex,,Cerebellum_6_L,CEREGR
cerebellum_white_matter,,,CEREWH
cerebral_white_matter,cerebral_white_matter,,WHITEVOL
choroid_plexus,,,
hippocampus,,Hippocampus_L,LHIPPO
inf_lat_vent,,,
lateral_ventricle,,,LLATVENT
pallidum,pallidum,Pallidum_L,
putamen,putamen,Putamen_L,
thalamus_proper,thalamus_proper,Thalamus_L,
ventraldc,,,
WM_HYPOINTENSITIES,,,WMHVOL
ICV,,,NACCICV
wholebrain,,,NACCBRNV
CSF,,,CSFVOL
